bullseye	bullseye	circle	circle	dots	dots	h_lines	h_lines	high_lines	high_lines	slant	slant	slant_down	slant_down	slant_up	slant_up	star	star	v_lines	v_lines	wide_lines	wide_lines	x_shape	x_shape
x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
72.4142038529	81.72875126	62.8897705352	76.92754854	72.056320504	79.6297666969	73.7673176992	89.8040548596	64.8185804356	89.9333781036	65.2497991023	80.3818734121	66.8128265439	82.2947277438	67.3135320079	99.2861952704	60.0195305423	86.2054459107	70.3647776158	85.2857007079	90.3186900701	86.1028597102	74.8392876308	68.4806620382
69.9039736658	40.7656954592	83.7537635774	45.509281152	75.2048287563	46.2158372953	78.0025369513	46.197793235	86.1144972145	29.6307399262	79.6045044614	43.4097222233	86.6637375655	45.3224018038	77.9074641798	45.605979653	70.8022976367	40.503232352	89.8591452064	43.4501293797	90.4787187462	33.938602591	75.899568447	30.8428076941
36.5753118043	44.0969342472	30.6918785125	29.622466462	24.8511639279	46.1995239996	25.2395277887	46.1970875982	32.9741607917	29.6287546224	31.3421091514	41.8262917123	33.1734943748	38.0939981404	30.5804434367	31.3230497387	43.7368006505	46.4740063039	30.1374876584	44.2069962445	9.78650315092	44.3275117584	43.2359612661	29.296989927
52.8817884948	29.3314463024	30.5666375359	29.9191350255	49.2747420462	29.5454483631	51.9131126684	30.3733699475	52.8186470083	29.6323258634	52.8870780644	31.2783201553	41.5876202143	29.886322246	53.1412241517	22.7205185617	51.9911326099	28.1675623141	49.7715416865	35.3112048325	53.5502736906	31.6670163702	49.1309767834	36.298617779
68.1415535023	59.6037566211	63.9497338353	66.7511943957	53.7340654037	49.9742186521	61.1580750105	50.0980044179	54.359291067	46.2410748711	54.2637860229	49.8154312865	55.0421159155	46.2588677393	54.2269247815	52.2758282313	43.4908124688	47.0525733977	53.7991261514	53.6730346105	64.0993298242	48.4844368791	59.6945716877	50.7424424503
55.4880158794	84.0848230319	63.973302056	77.2877662506	53.7354403092	80.4284481769	61.0686572576	89.8895877441	56.6191148843	90.0171446741	60.2856234441	87.4356704623	60.3114127156	88.2020072343	63.0669082296	93.2211293608	57.4057377061	88.1558183448	53.7956592717	84.0020676882	64.1010426685	88.9704901592	75.3253655161	69.8744109701
38.8600679208	13.9741315869	34.7599807804	25.0136627028	45.1897867147	20.1639328808	40.0296091502	9.93797499476	40.6562146429	9.7416029463	43.3859499505	14.4341005043	36.5769655388	13.4549917922	41.7847568428	12.8493794971	39.414205987	17.6684887372	45.8812250452	17.8439386197	9.69088447523	19.6970657309	36.4593114168	20.558922009
82.8416372258	25.1581002763	74.3019409562	25.7800478388	74.0124428861	17.9055521495	72.7400724083	29.7038022985	71.5927221979	10.1377598149	72.2719941209	26.5963575652	73.2232093347	26.3583144227	73.6339549692	25.0461381361	73.5450279198	28.7854164454	70.4371048891	21.9094843986	90.1221506827	29.3583612362	77.7405576485	27.7735067169
33.2054293613	17.7500690332	39.9293915413	22.4796177988	22.2702739583	20.4078260199	30.5147563765	9.8747015951	40.4487572693	10.1090490632	33.6668525501	5.39969623814	36.565152018	12.4768937524	36.4220691511	6.1714084213	39.7647633474	19.1739539703	29.9573880925	3.62885417463	9.76175444057	14.3862717885	23.8713465317	5.39168298716
61.5569854536	32.2417615201	78.9405990539	31.1401870048	53.7524863705	29.5528451468	54.1227908548	30.4087470379	59.1032838627	29.6331858984	61.5459350672	31.0489656296	56.4139787626	41.6991366593	62.5352353731	33.4703508699	56.7708158304	32.6338640972	65.0711386025	32.0927925401	64.1008492292	35.9104838382	63.0524811106	45.5063864421
50.597045888	28.7157475234	44.1143562154	18.26796792	47.9827121808	19.7007447845	46.5138701346	29.9200723824	48.3825109788	9.81305098109	47.138241688	26.7495939707	46.1175823714	24.6788062532	51.835880074	23.9259013296	43.1063281934	29.3595806892	50.4336890736	16.7011445858	44.9284562652	23.4108815485	44.9318417283	29.6409755887
39.328266254	56.5580750765	27.2959499842	61.4937867878	45.1943989097	49.9700782546	41.4490368598	67.9342323587	40.4855303404	66.6758033222	42.4714502115	63.070319005	34.5874006305	64.6686497734	33.4126987391	62.6647205329	44.2777915313	63.2333488905	45.9013225109	62.4265720171	9.95921809117	54.6629041999	47.6593614689	65.6584871497
71.3723117061	81.8132320731	67.5005258623	74.2378943354	73.3315317291	78.1611700254	80.2705558813	70.3097664673	74.4800332201	90.1293469958	78.5347248803	76.7284494842	76.7973884346	72.0700548064	81.2539810694	82.4487464158	76.1394740682	67.7273505366	69.8491050401	80.313059426	90.0947498961	77.8896108416	82.9641104516	78.2731788082
54.82113479	67.5306321179	60.9607713817	78.0922195807	53.732044489	79.7779946153	63.0964666349	70.2332272687	57.2446347726	90.3378253044	57.1176315681	68.3233350818	54.4361712247	75.0857019566	64.0141977601	67.8646319267	52.6061025535	72.8769127708	53.7951421199	70.5708320507	64.1034246773	68.8717514878	53.7914823319	67.8529921484
43.3173163477	63.0090452053	27.8753183004	59.1195899312	45.1918083682	50.0125525537	47.8412467791	50.2937218015	34.9184722278	66.6781643251	39.3683052928	57.3481448332	43.7512228449	56.4984717847	32.933432965	62.8153021987	43.2948980496	47.5551899448	30.2619994199	63.8263710158	9.60901219991	61.1506997814	46.2410960656	66.737735263
90.2338188229	55.8291391321	75.7857179903	66.6300484911	72.9421974489	48.5045078852	83.6563422451	50.336318994	82.0761100937	66.6770960431	87.149805517	57.0971323103	91.2603734278	60.3725740695	83.2927257475	55.921272974	87.5371867743	63.4089256262	90.0216962287	58.1880261035	89.8619301289	55.2885391122	71.1194513185	63.8298118389
71.8545936676	79.4993889586	76.369079385	69.6130041563	76.8004513293	79.2453838094	76.3684981592	89.6584896158	81.6699058312	90.1230689993	83.8678042122	90.5051457633	73.3281573656	77.0243547801	81.0294221323	82.3115046976	64.6174780324	69.7428418277	90.2076900378	85.3128572189	90.2482146142	85.7876836521	86.5433922991	83.6864856293
60.2190321493	10.920069313	54.502247716	18.6498426268	53.736619282	19.8998035516	54.8083888091	9.88808513244	62.3339575748	10.3223872418	55.7663806259	8.6888179471	57.2120739854	14.4001861754	54.5406391937	3.00307341873	58.1403168895	34.3211441886	53.7961109451	8.45637063493	64.1034571364	7.28500289204	53.7570333243	32.5764913406
53.4348407198	66.6402323069	44.8867383831	66.6927865502	48.9472719646	50.1954391187	46.0035894774	67.9171393117	45.0021532676	66.6789779645	47.0176954472	61.2270187283	45.4141101275	53.5317789821	34.424629427	63.4626955016	46.1336157422	63.2881775525	50.4525907295	61.4202687453	44.9257633705	65.4273824321	47.9046934498	65.0315258838
71.1990259043	48.9474856731	83.885679242	48.5746488584	75.3354745576	50.4148152935	76.9471241873	49.9247075797	71.1386234739	46.2458192099	72.4861782202	47.9877392942	77.8419657434	51.1838557744	80.1602435603	50.2430393066	75.1876391387	48.8883500388	69.5578102052	46.9340237884	89.8488960321	59.6877491228	61.9708123624	47.916211245
49.1173214125	85.4502123593	48.6346205207	76.2612306618	45.1759892304	80.0967072621	47.5441609969	89.8859993613	46.0092066943	89.9854299143	45.2276805752	92.0723693814	49.6376202398	77.967044467	44.8467319185	97.4965101486	55.6560315167	83.1069057827	49.6338403741	93.6240956812	44.9314138845	97.5420841849	45.5997623133	67.8839702066
37.4939822074	13.758152604	37.2348183481	22.0829178745	45.25532723	20.1345831593	40.0214762234	10.1626954388	27.3586389051	9.7839927047	41.7003275847	14.0219598235	39.5825308737	13.0644768338	32.2564059379	1.6551451458	39.151369476	15.1480853453	45.9378312902	24.2546167139	9.98944653597	14.0882539797	42.2593695851	28.2336383268
43.3432689548	62.3171447511	26.9252203242	59.5840456434	45.187776157	50.1848112488	39.2006630746	67.9323701479	47.7851971571	66.6749114906	44.6439155683	60.5889586942	44.5649296515	58.2239125098	35.7078724316	64.4616402649	44.7376775489	62.9064722207	45.8925169418	59.2539212093	10.4416938097	55.028136914	51.9236434085	60.3391065702
46.9521704019	63.2407744726	44.8074008893	66.6886356651	49.4920339479	48.0899885102	44.8887821844	49.9727005255	48.6180961215	66.6751643348	49.7423401581	53.9690541666	50.8787860169	49.7837689229	48.9218757591	49.7061832312	49.3014315699	63.0622869195	50.1065136283	62.3215535162	44.9245077735	48.356642875	50.2010554227	62.1669990299
63.3088156891	83.2432761718	61.590308477	75.5508646657	53.7305947625	79.8486639032	55.3171961926	90.1438813932	59.0342825534	90.0136042022	56.1213206005	81.0569766394	53.9864103728	78.689415213	58.4219685059	88.8425505566	53.9746160904	75.1002612856	53.7980034707	79.1521010506	64.1011546793	78.2466965335	53.7983367137	67.8240969658
62.5247966287	63.8329002124	63.9651423302	66.7228792342	53.731919558	49.9755531963	54.9871874859	49.7546583421	61.0683918609	66.6775813259	58.1792288609	56.8054794652	54.6162954612	47.1203882581	64.34095194	63.5152488138	50.3403249887	63.8620085911	53.7955461927	56.2377367764	64.1025816656	59.7058172505	63.3694848074	53.9713421396
63.8022458666	82.3082722912	62.2981397907	76.2314532272	53.7322358851	79.8853420693	57.5378770899	69.6982390419	59.340641477	90.0381654492	62.8155813447	75.1705329159	54.8090076315	72.6644586752	65.9057998445	67.9153404957	62.8112396918	76.4208864599	65.0455832188	82.2185115098	64.1017295432	75.9723266391	76.0675155233	70.1129959852
58.1638089441	29.9791908267	63.9400812007	29.5672880747	53.7423414351	46.1970853281	63.6631138713	30.4721412621	54.9048453052	29.6285278082	55.260420032	37.8733990471	61.7632756146	40.0693063346	63.149970634	34.4703343895	59.5696820804	33.1179582756	53.7967878662	43.1523323765	64.1025999796	34.6718329916	55.2805211224	43.9453132876
48.9843274108	29.8441361744	44.7965426508	29.5755789842	50.0436537904	46.2179534468	51.111792408	46.1963674519	44.8011166482	29.6316362585	48.439965815	44.0339683769	53.0392096096	44.8030333995	43.5638642653	44.9026848161	46.514555975	43.2406929873	49.7471139566	45.5150489555	44.9272440967	43.1109449901	50.5869975499	37.7746273338
42.602031974	11.6417277085	29.4649144244	30.0535533784	27.6344785546	18.8153271703	37.8429840065	9.68543149816	43.851868341	9.68216924178	31.9344795339	8.56988494242	41.6668056624	6.55740053019	38.8285090917	7.37011100495	41.2120650264	16.5767446096	29.9716790797	10.7208547946	9.59554774805	2.90579027063	33.4378588654	17.3834094662
61.1783987127	32.0002634339	76.881413501	30.4596267403	53.7568503734	29.5469502111	54.7223274023	30.4459677928	59.3350145218	29.6291174097	61.3926581368	29.6750368361	62.1511925611	37.1330138793	63.2983879865	30.9402617568	54.6969719875	30.9182130999	65.0722209501	37.1470003462	64.0984347952	31.1655971783	63.9645056657	44.899651381
72.013839258	79.1279341761	64.9944122579	74.851014778	75.8537456779	79.4243034336	76.1741812181	89.5892496684	80.4429039249	90.1599420727	81.5840496376	88.7460050809	71.2996245265	79.2059682783	82.6947806702	82.4465470094	62.5868001063	75.6975303722	90.0493672964	97.3506311578	90.3695480898	87.8078831089	86.5984615369	82.7996308271
59.0050592953	11.1389564217	56.6246792694	19.3444647561	64.3849337839	19.9701070613	53.9123014493	10.3336069577	57.7650538822	9.85368456694	63.5596041464	12.7717311268	55.9777085615	15.362023035	57.9199269816	8.22634991062	70.4783390235	21.7676728172	65.0718189025	16.9463152598	64.1017798703	16.9786786403	78.6572401804	27.0398949812
53.3658180909	84.8739193803	53.5814361561	77.4426264728	52.1458141341	79.6877081212	49.9122541211	90.1182587988	44.7925671572	90.4696507317	50.1185854501	83.3714927504	51.7056075318	78.9700210004	48.3148605736	80.2653111631	54.7987709082	78.6595982409	49.8632103297	69.7872597472	53.5500743552	82.465756555	40.425221716	73.8585104831
48.7009918693	64.7161618682	31.3626073882	65.851492744	49.4112434675	66.3872581575	47.656355383	67.9065346236	46.6444906752	66.6780402211	52.316461897	65.7505604096	53.6076355661	66.476564331	50.9543668564	53.1600300725	49.4560946282	62.8646800519	49.5879375721	61.2720067839	53.5496893374	62.4703670422	48.0116854619	65.5768830167
30.1691857461	74.1940919111	40.8230010828	73.6586057958	24.9762955873	82.7381158001	43.6503892829	89.7956632908	33.5141029264	89.8418829973	34.5602758643	92.601427282	44.7975719461	86.8411057285	32.888852122	84.5357830993	54.5591412797	78.2185601764	30.3353162498	92.7770309739	10.429845956	92.3835514453	23.2584278559	95.820856635
48.4025610212	84.989087435	51.280996034	76.5337536298	45.1896360549	80.0365725338	39.316256218	89.5848077344	42.2142499131	89.6210863589	42.7616885528	86.9644443227	41.4684361738	86.5677621548	35.4746620998	83.5882701309	54.0951608899	75.0806209232	45.8993077019	82.7073181137	10.361092773	92.065307934	32.0269779589	85.6294243238
65.8342171738	83.4771000396	62.8910302018	76.9324275591	64.3930746116	80.2834708088	71.6122381021	90.0604855087	66.7506741591	90.2712924013	64.1112132083	97.0241743853	66.548468218	85.3559328016	68.0394676361	99.4644456236	59.6084529586	88.9175480126	69.5792291507	97.5074895605	90.1133186754	96.3632452821	76.8516997899	70.6938995488
79.6978265545	75.0877826728	67.1551244166	76.1063398854	76.8719404342	81.5288266056	75.0178357548	69.8969671002	76.9106677095	89.8531355435	69.7553397049	70.9579698042	64.2636412878	67.915116876	78.7122521995	77.1392230641	64.0537442099	71.5716626541	69.9719620066	77.8602965488	89.9833722434	67.8771618885	74.5603433951	68.3692490795
54.1489288939	67.5112063689	69.4554879906	75.0054996307	71.8766052639	67.8348847616	66.8368405692	69.6622586393	68.7023978135	67.8509765051	68.3173818542	67.885687055	64.5368220134	68.2699728894	74.101687967	73.5481550902	62.0309203732	79.4017874463	70.3941273346	80.3279744541	90.0766066858	74.5438737075	74.0247931661	68.2421826805
63.9833177032	31.7205907265	63.8736809647	29.5802052791	53.7472121241	29.5513629246	62.5805090031	30.2616854607	57.2314404525	29.6300634935	59.2581808443	33.2256040173	60.4210826392	41.7336703046	63.3037938295	33.5259785298	55.9341156806	32.1953390319	53.7957452081	29.695400754	64.1033057989	36.3722238725	56.3199817751	45.4527666147
18.8841804648	39.6029257554	25.2144133989	37.9487589466	24.6901362981	29.5471914592	39.6791103736	30.3709322616	25.069971932	29.6286543669	30.6880647283	31.8170470289	38.3940266332	31.2328287018	31.3490337612	31.3486298624	43.4512479064	33.8007915271	29.9250975204	34.1609976609	10.0009815884	41.9102849203	49.3678856068	36.7050224368
57.564650692	85.2569667372	61.2507053003	77.13573367	53.7312372265	79.8981240903	63.8267725429	89.8024216912	59.6167527391	89.5935506449	53.9317996538	85.3865445554	56.9719735661	74.9570967926	61.0932039665	91.9820685874	55.9216026194	84.5543318527	53.7965557893	84.9616297308	53.9286623103	85.5605781297	53.7820827225	67.8822605249
52.0827203059	31.1139976437	45.5545084601	19.8924604465	45.1974336137	20.1161552183	35.8436307776	29.7870923799	43.1906750164	9.91322512959	44.8050377252	22.6987372585	43.6980488243	24.1703598501	40.513408752	9.03340562401	40.5235321645	20.0780967057	45.8862414971	16.4740136036	44.9258235522	27.9441789954	43.6615466985	29.4790811767
36.0998918533	42.9154897168	30.3192506593	31.3559517688	45.1799140231	46.1869272095	40.6619982363	30.4825666502	44.5174424038	29.6281078953	39.8316284819	39.6213794448	32.7099965313	38.2118387331	43.5993659722	42.307358513	43.8950843711	33.3229759554	29.6581851195	33.7546788165	10.4139527134	45.9887564789	48.6727927217	35.6517043636
54.3715885657	67.5243009671	59.2927470149	77.8449338985	53.7355264061	80.3636924601	55.2476163139	69.7668491185	63.1124919741	90.2796350216	54.2261512489	68.3000890559	56.0480466883	71.4600420059	64.0124532837	67.871964032	57.2000367021	86.6377322097	53.7984146865	70.6504190666	64.104374089	72.6402737938	53.8015315583	67.8335876744
70.5028179321	37.3432144008	83.3588440632	46.1759972688	74.9932403355	46.216996749	64.2107431959	46.1965544279	65.7107808684	29.6283139524	64.6525019627	41.1435973982	64.3627379374	36.6278092339	68.5271488734	39.9639145332	71.3921844405	38.5476555242	69.8022301527	46.0797686082	89.8230885721	31.9393896612	72.6080227596	33.5250979907
44.9687988321	30.8197500534	45.149276006	18.8434609384	50.0907372725	46.2191472531	51.238125992	46.1934332073	46.580933318	29.6287592481	49.0438595208	42.9555725563	52.7559965967	45.4076541981	45.5204870629	45.106305102	44.8739179867	46.1661534003	49.800758594	43.6898016574	44.9340630869	46.1090902024	50.9178502923	38.5140469509
89.1019938827	56.4110365546	83.4908434017	56.482506485	76.7858017651	51.656761962	81.262880352	49.9683112966	80.788982351	66.6699052113	80.9207582219	60.1244235979	87.0461965026	63.2245415847	83.1917583033	51.4839358885	79.9486449353	53.7617144779	90.1441800806	66.2201821661	90.0201128707	58.7820318199	66.9431935822	58.775447745
49.9982215225	28.9733195723	44.8032127438	29.5675118189	49.9095642839	46.2181129984	51.6258669342	46.1967069025	50.1152251871	29.6291857014	50.3193301987	42.1121869369	52.1632178085	45.7080011654	47.1726147076	45.6744866599	45.836479639	44.3209938994	50.2648373924	45.9345920214	53.5507799221	39.7803624225	50.2180838802	37.4979328565
59.0910228301	83.3802647658	63.1505852364	75.8100474414	53.7342084976	80.1067662241	63.2145489256	90.0539888511	53.9478648548	90.0175149197	57.6416201395	84.2406303119	57.8649288638	94.5476707402	55.709285115	87.1453900802	55.997502853	83.2730271503	53.7958214584	90.6820355807	64.1026260062	84.4873321995	53.7652911891	67.8884232301
42.9731002413	33.6084101506	29.3212107421	30.0275461333	45.2039829387	46.1128348002	28.4772799568	30.4006446009	37.4034229509	29.6280197814	42.1029335967	38.4957429771	34.8324668236	34.8325250764	33.2727426227	33.5157036104	44.6176386473	35.5277072496	45.8768462543	35.5258105685	9.82407808619	43.4143643109	45.6170359375	32.1091408317
48.1039691587	64.3526327202	44.8537057777	66.703254742	49.3843379849	47.8449861795	47.4379706334	49.8524044854	46.2549902978	66.6759402248	47.7436373804	56.5062985216	45.8607797653	53.3484704956	52.0437222838	51.6237849557	50.5206606562	65.4300221026	50.1419074737	58.250365701	44.9243683196	52.8282903242	46.6466747657	66.0649381627
56.8312717546	29.0834744649	55.7810366298	19.2855439352	53.7333498842	20.0115268491	59.4571376708	29.7230310986	62.4434200931	10.4843107596	61.0346068127	26.0737305291	63.9281387124	29.5174558089	57.8300154235	29.5987529959	62.1347235139	30.3324701539	65.0637161617	22.9886905147	64.0891427505	29.481682903	64.0562278163	29.6119314519
35.2149893656	16.8052947748	34.7797528784	24.6358115783	23.8568144695	20.8583019703	19.2954644682	9.80018713406	34.3285410722	9.90192559473	27.9781288537	7.66815961724	29.0208223444	18.5910917237	31.764751969	0.763458074838	40.5002604789	16.200776721	29.7423445767	1.36189961658	10.2031811146	0.718600795541	28.8721414093	11.2752880318
53.2492343968	67.5300885696	47.4730484642	76.4707866051	49.5271311809	78.6527036	44.8314997744	70.1689722532	50.7314765162	89.7662138279	49.6106350071	70.8548717332	53.3184657082	74.6498632039	49.3213425258	76.7035180232	52.4841296942	71.0938155336	49.8955677542	71.0583674388	44.9259095668	72.2350986097	42.5849164702	71.7518037102
39.3192127245	80.5342749866	49.3736863711	76.2777114403	23.0617699904	81.8228907799	42.1811421021	90.3414137093	30.4754740025	89.8768565211	35.7743082965	88.4866299688	31.1700711967	96.5841920927	33.6375975849	84.2345365366	52.9295204749	72.0538217453	30.2447741312	92.0941385413	10.0381885577	83.9144136297	26.6009894049	91.9862942137
58.2574819356	65.4515663382	63.9720111255	66.7439610306	64.3874520348	50.1323123686	60.3840377808	50.0471665942	61.7076853859	66.6786002298	63.5436367972	59.4623115581	63.5072514649	65.2259336814	61.6795237984	63.1678661003	65.2729286517	64.7724331876	65.0525184201	56.9584215614	64.1025653526	62.0840381569	56.4573019236	54.5756215901
71.9992964307	46.2457555654	83.6790076812	38.5939841575	75.0342182024	46.2152939275	68.4005167607	46.1952281351	68.818873356	29.6289439047	66.7242052801	43.6330950601	65.0578816269	33.3765193836	69.3313928488	39.7648174214	72.2357102529	45.7555150906	70.2394807095	36.429043066	89.7364452428	38.977669983	73.8205480841	32.1754015566
90.8343766609	36.9914325927	80.3733493605	35.3019188436	75.0885996161	29.5431478958	72.835576107	30.4343408035	76.4548155439	29.6306090914	78.1295000171	31.5554036332	71.510928936	30.4418190605	80.7669329816	30.0667979992	72.7573591333	31.8984119722	69.6291425514	36.4418525701	90.1203103603	33.7893564602	75.6407082141	30.3314957828
